product_id,name,brand,category,subcategory,gender,color,size,material,price_usd,sale_price_usd,in_stock,stock_quantity,rating,review_count,country_of_origin
CP001,Classic White Oxford Shirt,Ralph Lauren,Tops,Shirts,Men,White,M,100% Cotton,89.99,0.00,true,142,4.5,312
CP002,Slim Fit Chinos,Banana Republic,Bottoms,Trousers,Men,Khaki,32x32,98% Cotton 2% Elastane,79.99,55.99,true,88,4.3,205
CP003,Wool Blend Overcoat,Theory,Outerwear,Coats,Men,Charcoal,L,70% Wool 30% Polyester,349.99,0.00,true,34,4.6,98
CP004,Leather Chelsea Boots,Thursday Boot Co,Footwear,Boots,Men,Brown,10,Full Grain Leather,199.99,0.00,true,67,4.7,441
CP005,Merino Crew Neck Sweater,Everlane,Tops,Knitwear,Men,Navy,M,100% Merino Wool,130.00,0.00,true,115,4.4,187
CP006,Relaxed Fit Jeans,Levi's,Bottoms,Jeans,Men,Indigo Blue,34x30,99% Cotton 1% Elastane,69.99,49.99,true,203,4.2,876
CP007,Bomber Jacket,Alpha Industries,Outerwear,Jackets,Men,Olive,L,Nylon Shell,169.99,129.99,true,52,4.5,334
CP008,Linen Blend Blazer,J.Crew,Outerwear,Blazers,Men,Sand,42R,55% Linen 45% Cotton,198.00,0.00,true,29,4.3,112
CP009,Pique Polo Shirt,Lacoste,Tops,Polo Shirts,Men,Red,L,100% Cotton,98.00,0.00,true,176,4.4,524
CP010,Running Shorts,Nike,Activewear,Shorts,Men,Black,M,100% Polyester,40.00,0.00,true,310,4.3,689
CP011,Floral Wrap Dress,Anthropologie,Dresses,Midi Dresses,Women,Floral,S,100% Viscose,148.00,99.00,true,73,4.5,267
CP012,High Rise Straight Jeans,AG Jeans,Bottoms,Jeans,Women,Light Wash,27,93% Cotton 5% Elastane 2% Polyester,195.00,0.00,true,58,4.6,189
CP013,Cashmere Turtleneck,COS,Tops,Knitwear,Women,Cream,M,100% Cashmere,250.00,175.00,true,41,4.7,143
CP014,Tailored Blazer,Zara,Outerwear,Blazers,Women,Black,S,72% Polyester 24% Viscose 4% Elastane,79.99,0.00,true,124,4.2,432
CP015,Satin Slip Skirt,Reformation,Bottoms,Skirts,Women,Champagne,XS,100% Recycled Polyester,128.00,0.00,true,36,4.4,198
CP016,Oversized Trench Coat,Burberry,Outerwear,Coats,Women,Honey,M,100% Cotton,1990.00,0.00,true,12,4.8,87
CP017,Ribbed Tank Top,Skims,Tops,Tank Tops,Women,Nude,S,57% Cotton 35% Modal 8% Elastane,38.00,0.00,true,284,4.3,1203
CP018,Wide Leg Trousers,& Other Stories,Bottoms,Trousers,Women,Camel,34,100% Linen,89.00,0.00,true,67,4.5,156
CP019,Leather Crossbody Bag,Coach,Accessories,Bags,Women,Saddle,One Size,100% Leather,295.00,206.50,true,43,4.6,341
CP020,Ankle Strap Heels,Steve Madden,Footwear,Heels,Women,Black,7,Synthetic Upper,89.99,62.99,true,95,4.1,578
CP021,Puffer Vest,Patagonia,Outerwear,Vests,Unisex,Cobalt Blue,L,100% Recycled Polyester,129.00,0.00,true,88,4.6,412
CP022,Graphic Tee,Supreme,Tops,T-Shirts,Men,White,M,100% Cotton,48.00,0.00,false,0,4.0,892
CP023,Yoga Leggings,Lululemon,Activewear,Leggings,Women,Black,4,79% Nylon 21% Lycra,128.00,0.00,true,167,4.8,2341
CP024,Trail Running Shoes,Salomon,Footwear,Trainers,Unisex,Grey,9,Synthetic Mesh,149.99,0.00,true,72,4.6,567
CP025,Canvas Tote Bag,L.L.Bean,Accessories,Bags,Unisex,Navy,One Size,100% Canvas,29.95,0.00,true,430,4.5,1876
CP026,Corduroy Overshirt,Fjallraven,Tops,Shirts,Men,Autumn Leaf,L,100% Cotton,120.00,0.00,true,54,4.5,203
CP027,Pleated Midi Skirt,Maje,Bottoms,Skirts,Women,Ecru,36,100% Polyester,195.00,136.50,true,28,4.3,94
CP028,Down Puffer Jacket,Canada Goose,Outerwear,Jackets,Unisex,Black,M,Duck Down Fill,745.00,0.00,true,19,4.7,312
CP029,Linen Shorts,Sunspel,Bottoms,Shorts,Men,White,M,100% Linen,95.00,0.00,true,62,4.4,87
CP030,Sports Bra,Nike,Activewear,Sports Bras,Women,Pink,S,75% Nylon 25% Spandex,55.00,38.50,true,193,4.4,876
CP031,Denim Jacket,Wrangler,Outerwear,Jackets,Unisex,Mid Wash,L,100% Cotton,79.99,0.00,true,112,4.3,543
CP032,Knit Beanie,Acne Studios,Accessories,Hats,Unisex,Black,One Size,100% Wool,120.00,0.00,true,89,4.4,234
CP033,Suede Loafers,Tod's,Footwear,Loafers,Men,Tan,9,100% Suede,495.00,0.00,true,22,4.7,112
CP034,Flare Yoga Pants,Alo Yoga,Activewear,Leggings,Women,Sage,XS,87% Nylon 13% Lycra,118.00,0.00,true,74,4.5,431
CP035,Quilted Gilet,Barbour,Outerwear,Vests,Men,Navy,M,100% Polyamide,179.00,125.30,true,46,4.5,189
CP036,Silk Blouse,Equipment,Tops,Blouses,Women,Ivory,S,100% Silk,248.00,173.60,true,31,4.6,142
CP037,Cargo Trousers,Dickies,Bottoms,Trousers,Men,Stone,34x32,65% Polyester 35% Cotton,54.99,0.00,true,178,4.2,672
CP038,Crew Neck Sweatshirt,Champion,Tops,Sweatshirts,Unisex,Grey Marl,L,82% Cotton 18% Polyester,65.00,45.50,true,256,4.3,934
CP039,Maxi Sundress,Free People,Dresses,Maxi Dresses,Women,Terracotta,XS,100% Rayon,128.00,89.60,true,55,4.4,213
CP040,Wool Flat Cap,Lock and Co,Accessories,Hats,Men,Herringbone,M,100% Wool,95.00,0.00,true,38,4.6,87
CP041,High Top Sneakers,Converse,Footwear,Trainers,Unisex,Black,8,Canvas Upper,70.00,0.00,true,345,4.4,2103
CP042,Swimwear Brief,Orlebar Brown,Activewear,Swimwear,Men,Kingfisher Blue,M,78% Polyester 22% Elastane,135.00,0.00,true,67,4.5,234
CP043,One Piece Swimsuit,Speedo,Activewear,Swimwear,Women,Coral,10,80% Nylon 20% Elastane,89.99,62.99,true,82,4.3,456
